,State,County,Risk_Score,Risk_Rating,IXP_Count,Region,Regional Electricity Demand,State Emissions Level,Utility Annual Energy Savings (MWh),SAIFI Major Events,CAIDI w/o Major Events,CAIDI w/ Major Events,Commercial Generation Rank,Total Generation Rank
112,AL,Escambia,91.37766465160676,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
113,AL,Escambia County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
114,AL,Etowah,82.24626153356665,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
115,AL,Etowah County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
116,AL,Fayette,29.39866369710468,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
117,AL,Fayette County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
118,AL,Franklin,65.47884187082406,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
119,AL,Franklin County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
120,AL,Geneva,65.5424753420299,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
121,AL,Geneva County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
122,AL,Greene,18.040089086859687,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
123,AL,Greene County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
124,AL,Hale,33.15303849825008,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
125,AL,Hale County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
126,AL,Henry,49.88864142538976,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
127,AL,Henry County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
128,AL,Houston,90.67769646834232,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
129,AL,Houston County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
130,AL,Jackson,69.93318485523386,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
131,AL,Jackson County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
132,AL,Jefferson,96.46834234807508,Relatively High,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
133,AL,Jefferson County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
134,AL,Lamar,29.68501431753102,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
135,AL,Lamar County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
136,AL,Lauderdale,76.36016544702512,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
137,AL,Lauderdale County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
138,AL,Lawrence,60.45179764556157,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
139,AL,Lawrence County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
140,AL,Lee,70.8240534521158,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
141,AL,Lee County,Unknown,Unknown,2.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
142,AL,Lee County,Unknown,Unknown,2.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
143,AL,Lee County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
144,AL,Limestone,73.59210944957046,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
145,AL,Limestone County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
146,AL,Lowndes,26.50334075723831,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
147,AL,Lowndes County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
148,AL,Macon,20.99904549793192,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
149,AL,Macon County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
150,AL,Madison,91.28221444479796,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
151,AL,Madison County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
152,AL,Marengo,41.26630607699649,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
153,AL,Marengo County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
154,AL,Marion,57.97009226853325,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
155,AL,Marion County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
156,AL,Marshall,85.17340120903593,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
157,AL,Marshall County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
158,AL,Mobile,98.79096404708876,Relatively High,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
159,AL,Mobile County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
160,AL,Monroe,58.892777601018125,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
161,AL,Monroe County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
162,AL,Montgomery,86.25517021953547,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
163,AL,Montgomery County,Unknown,Unknown,2.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
164,AL,Montgomery County,Unknown,Unknown,2.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
165,AL,Morgan,88.13235762010818,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
166,AL,Morgan County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
167,AL,Perry,13.713013044861595,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
168,AL,Perry County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
169,AL,Pickens,44.82978046452433,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
170,AL,Pickens County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
171,AL,Pike,63.25167037861915,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
172,AL,Pike County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
173,AL,Randolph,29.462297168310528,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
174,AL,Randolph County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
175,AL,Russell,39.26185173401209,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
176,AL,Russell County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
177,AL,Shelby,87.40057270124083,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
178,AL,Shelby County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
179,AL,St. Clair,70.79223671651289,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
180,AL,St. Clair County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
181,AL,Sumter,51.065860642698055,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
182,AL,Sumter County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
183,AL,Talladega,71.81037225580656,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
184,AL,Talladega County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
185,AL,Tallapoosa,50.0477251034044,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
186,AL,Tallapoosa County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
187,AL,Tuscaloosa,87.11422208081451,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
188,AL,Tuscaloosa County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
189,AL,Walker,73.33757556474706,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
190,AL,Walker County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
191,AL,Washington,58.001909004136174,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
192,AL,Washington County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
193,AL,Wilcox,23.003499840916323,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
194,AL,Wilcox County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
195,AL,Winston,44.00254533884824,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
196,AL,Winston County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
347,AZ,Apache,43.39802736239262,Very Low,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
348,AZ,Apache County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
349,AZ,Cochise,85.87336939230033,Relatively Moderate,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
350,AZ,Cochise County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
351,AZ,Coconino,90.23226216990136,Relatively Moderate,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
352,AZ,Coconino County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
353,AZ,Coconino County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
354,AZ,Coconino County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
355,AZ,Coconino County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
356,AZ,Coconino County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
357,AZ,Coconino County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
358,AZ,Gila,85.26885141584474,Relatively Moderate,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
359,AZ,Gila County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
360,AZ,Graham,68.18326439707286,Relatively Low,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
361,AZ,Graham County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
362,AZ,Greenlee,6.967865097041044,Very Low,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
363,AZ,Greenlee County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
364,AZ,La Paz,69.01049952274897,Relatively Low,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
365,AZ,La Paz County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
366,AZ,Maricopa,97.32739420935413,Relatively High,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
367,AZ,Maricopa County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
368,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
369,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
370,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
371,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
372,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
373,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
374,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
375,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
376,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
377,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
378,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
379,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
380,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
381,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
382,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
383,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
384,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
385,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
386,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
387,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
388,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
389,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
390,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
391,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
392,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
393,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
394,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
395,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
396,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
397,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
398,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
399,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
400,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
401,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
402,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
403,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
404,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
405,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
406,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
407,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
408,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
409,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
410,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
411,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
412,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
413,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
414,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
415,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
416,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
417,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
418,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
419,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
420,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
421,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
422,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
423,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
424,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
425,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
426,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
427,AZ,Maricopa County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
428,AZ,Mohave,88.41870824053451,Relatively Moderate,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
429,AZ,Mohave County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
430,AZ,Navajo,80.94177537384665,Relatively Low,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
431,AZ,Navajo County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
432,AZ,Pima,94.97295577473751,Relatively Moderate,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
433,AZ,Pima County,Unknown,Unknown,600.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
434,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
435,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
436,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
437,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,High,Low,84.8,108.6,Moderate,High
438,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
439,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,Moderate,Low,84.8,108.6,Moderate,High
440,AZ,Pima County,Unknown,Unknown,8.0,SW,Low,Moderate,Low,Low,84.8,108.6,Moderate,High
