"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"9/22/2023, Eastern Time",725497,545958,771392,759635,2014306,2000240,268018,891396,368390,633213,333545,426767,1493621
US48,"9/23/2023, Eastern Time",680503,499761,765481,706410,1856570,1875142,263498,838287,347082,596136,319852,406641,1504607
US48,"9/24/2023, Eastern Time",662366,546928,737452,733869,1829459,1814683,267073,836846,347665,600347,322373,394218,1505452
US48,"9/25/2023, Eastern Time",730641,616472,767014,795360,2003830,1965492,287666,894542,369004,652340,337913,445504,1444237
US48,"9/26/2023, Eastern Time",755645,588699,778505,795326,2006867,1974556,273182,902256,362953,670342,349729,460410,1399833
US48,"9/27/2023, Eastern Time",759693,543537,790785,766862,1957470,1944902,262196,902932,351547,627844,343799,461117,1409583
US48,"9/28/2023, Eastern Time",754202,542729,822526,764526,1963960,1940973,268040,901587,358569,598794,346068,438078,1428094
US48,"9/29/2023, Eastern Time",743428,560128,841486,773222,1975708,1949555,289592,908879,371057,619100,337087,439457,1438462
US48,"9/30/2023, Eastern Time",673836,535084,810781,773538,1886719,1896879,263194,859036,343517,611549,319687,425576,1385356
US48,"10/1/2023, Eastern Time",625045,537070,785880,751568,1902147,1898483,248083,849157,342239,594577,297299,419062,1320275
US48,"10/2/2023, Eastern Time",674039,571392,804599,750810,2130952,2034108,270410,883298,386038,617275,293794,447165,1345216
US48,"10/3/2023, Eastern Time",707620,578656,762684,747608,2197537,2036398,284462,868940,398934,611699,287787,444793,1323443
US48,"10/4/2023, Eastern Time",757893,576239,732540,774585,2204672,1963628,304982,869700,421794,617413,292287,428468,1408868
US48,"10/5/2023, Eastern Time",824010,570676,709455,804349,2100154,1846457,298615,863639,407490,616588,308432,409059,1228508
US48,"10/6/2023, Eastern Time",845600,574941,661181,797615,2049229,1742843,303232,869301,409244,611552,324677,393874,1184063
US48,"10/7/2023, Eastern Time",785885,500831,610915,769690,1787514,1562600,284728,833371,362531,519968,328995,332112,1023703
US48,"10/8/2023, Eastern Time",759541,459202,613977,658457,1710061,1539007,238356,830570,324694,485990,325419,333859,985873
US48,"10/9/2023, Eastern Time",760864,509250,662201,635912,1885466,1692835,256209,871154,352285,536655,329152,366428,1098262
US48,"10/10/2023, Eastern Time",736158,518842,687255,692022,1910955,1725106,274914,889895,362268,557105,320425,374712,1136784
US48,"10/11/2023, Eastern Time",712854,512258,712620,741596,1905797,1719049,274544,892577,364173,543234,311937,366220,1102361
US48,"10/12/2023, Eastern Time",708463,515679,696009,824525,1910829,1725479,269857,891993,360176,535617,293834,376740,1140665
US48,"10/13/2023, Eastern Time",720076,521015,666252,825826,1880922,1742281,260389,882761,354007,532174,279370,374809,1209876
US48,"10/14/2023, Eastern Time",674784,495174,616656,740914,1798221,1592966,256004,831949,347869,513187,274199,343804,1012440
US48,"10/15/2023, Eastern Time",668828,469127,608300,668972,1738496,1543469,253217,831101,336784,480244,287739,335686,955534
US48,"10/16/2023, Eastern Time",751042,515122,650714,580404,1921513,1695919,277270,881474,365421,534635,317252,380304,991798
US48,"10/17/2023, Eastern Time",769621,525175,666163,543014,1930508,1720119,277072,904577,367636,546930,321771,382459,1013093
US48,"10/18/2023, Eastern Time",789186,517153,671114,570934,1929457,1721102,282624,895573,370005,548906,315805,385667,1052258
US48,"10/19/2023, Eastern Time",808720,521245,672147,617346,1927695,1729177,270830,896705,362798,542700,315780,375400,1103195
US48,"10/20/2023, Eastern Time",805877,506668,682442,632177,1893667,1714844,285044,884139,372367,536740,315864,367560,1134637
US48,"10/21/2023, Eastern Time",717080,481363,655145,649788,1769764,1620459,270201,844344,347420,502306,305461,354021,1119114
US48,"10/22/2023, Eastern Time",662631,479318,653143,622087,1746664,1601879,252969,842560,341587,500696,298409,344601,1152526
US48,"10/23/2023, Eastern Time",711017,521300,713711,659377,1944996,1756474,272052,892517,364232,542858,292441,380241,1222606
US48,"10/24/2023, Eastern Time",700947,539383,713547,672000,1972363,1787131,277213,906369,367799,551587,280899,385340,1208336
US48,"10/25/2023, Eastern Time",718560,538932,706236,677861,1935193,1796128,275351,937250,368089,559316,268851,390773,1215271
US48,"10/26/2023, Eastern Time",693573,534465,713192,696677,1944250,1807590,276282,963511,372609,571007,271566,395152,1216165
US48,"10/27/2023, Eastern Time",685765,529842,691984,695469,1938342,1809051,276138,974880,372224,561186,270150,392441,1254945
US48,"10/28/2023, Eastern Time",629692,514975,675913,684911,1828595,1681411,257083,969818,354555,535090,259271,377338,1148433
US48,"10/29/2023, Eastern Time",606089,515879,704962,687003,1807675,1683825,265976,967642,350128,537869,240745,365249,1113723
US48,"10/30/2023, Eastern Time",670290,558869,746592,712584,1972289,1826831,295503,1006289,381897,568062,248204,385074,1115574
US48,"10/31/2023, Eastern Time",683776,524321,764909,699592,2044021,1924756,275354,993463,376276,549522,249721,421599,1100617
US48,"11/1/2023, Eastern Time",698144,587067,767963,261161,2143045,1942887,302148,970479,391850,613308,243112,459567,1096998
US48,"11/2/2023, Eastern Time",711246,646913,739160,589781,2186251,1904095,295849,933423,393357,653384,254572,466525,1081857
US48,"11/3/2023, Eastern Time",700707,624013,701543,603986,2104570,1806313,286115,907446,376754,614437,254266,431870,1040057
US48,"11/4/2023, Eastern Time",652057,549071,655713,583868,1884867,1644193,267475,872048,353806,545311,247813,387333,999770
US48,"11/5/2023, Eastern Time",612009,472874,677315,590319,1881576,1685949,267586,903257,356806,544444,233219,375912,1055759
US48,"11/6/2023, Eastern Time",680935,531230,687407,587804,1972173,1744315,293367,931496,380687,551373,234976,386400,1098884
US48,"11/7/2023, Eastern Time",696305,528318,698665,625372,1951100,1773636,287062,949773,377906,556816,262656,386851,1139331
US48,"11/8/2023, Eastern Time",692089,526087,706083,636167,1965867,1804122,288886,971005,383652,558682,251972,395510,1160974
US48,"11/9/2023, Eastern Time",692088,526968,692739,650704,1967365,1762019,322609,996610,393383,556558,246974,377789,1096107
US48,"11/10/2023, Eastern Time",677705,509447,695391,712699,1995921,1754089,303936,976202,386341,539431,246106,366181,1028548
US48,"11/11/2023, Eastern Time",633930,509881,673135,716959,1942712,1680747,274431,926020,363503,523164,238620,363463,984462
US48,"11/12/2023, Eastern Time",620776,510064,655968,673739,1945476,1634836,288408,917561,369083,523374,241076,364109,979810
US48,"11/13/2023, Eastern Time",675759,561494,690072,645369,2131927,1754835,315139,953491,402867,558863,256267,395738,1016043
US48,"11/14/2023, Eastern Time",691611,563744,692344,626362,2107576,1786185,312104,971718,397633,562619,264765,398027,1013498
US48,"11/15/2023, Eastern Time",713665,569668,690868,602279,2112994,1761964,304842,967988,390690,568137,263709,386699,1015950
US48,"11/16/2023, Eastern Time",700416,541235,695247,539167,2051320,1751746,291561,984335,379487,547364,265445,380468,1026365
US48,"11/17/2023, Eastern Time",697257,516395,684573,624799,1984191,1731525,289009,980080,376382,528725,260408,369404,1037655
US48,"11/18/2023, Eastern Time",661358,483385,665111,591586,1891387,1666729,279053,936675,353161,506397,252923,357694,999078
US48,"11/19/2023, Eastern Time",628562,502724,663028,586361,1951407,1667378,279113,942579,361956,511293,243937,384798,992264
US48,"11/20/2023, Eastern Time",678328,561317,706483,628275,2158437,1814301,312669,1019858,398738,540925,254336,395277,1064964
US48,"11/21/2023, Eastern Time",703841,558182,735003,654197,2200493,1833114,331054,1005618,422208,540862,253164,391005,1048331
US48,"11/22/2023, Eastern Time",698634,531552,742916,648157,2085858,1839220,323371,978080,399455,539261,251600,422916,1088329
US48,"11/23/2023, Eastern Time",625658,528284,691259,583253,1909862,1691361,266827,963025,357208,521905,246522,403443,1040224
US48,"11/24/2023, Eastern Time",623239,521476,719930,544495,1988563,1723479,277504,998912,374717,504482,242269,377972,1000072
US48,"11/25/2023, Eastern Time",628022,547926,737329,558473,2079283,1756509,301671,1036098,385287,535222,243265,388934,1005959
US48,"11/26/2023, Eastern Time",636460,606538,753606,596166,2105459,1785643,304511,1050755,381840,558731,246506,407906,1041199
US48,"11/27/2023, Eastern Time",702368,610037,799169,593435,2292423,2027963,302799,999494,402302,640615,260357,481595,1165402
US48,"11/28/2023, Eastern Time",713976,696282,784554,590236,2510141,2078792,329712,1093352,431182,687875,259223,519563,1104771
US48,"11/29/2023, Eastern Time",724389,754559,750778,620401,2537621,2010143,344051,1117833,441816,739508,257088,515355,1109334
US48,"11/30/2023, Eastern Time",726414,694365,742609,612120,2338235,1926772,327003,1102742,414521,702469,265387,459374,1053554
US48,"12/1/2023, Eastern Time",714985,614472,750875,617443,2243438,1862002,313611,1079517,410305,595758,262973,418767,1035431
US48,"12/2/2023, Eastern Time",666838,511941,735115,650559,1980914,1765000,291746,1026402,378264,521862,256338,371534,1028880
US48,"12/3/2023, Eastern Time",645959,493921,728661,661170,1958894,1743027,305741,1011009,381390,506568,257193,369491,1017010
US48,"12/4/2023, Eastern Time",691809,543929,756612,642634,2175878,1909958,315518,1009775,403910,574144,263513,431372,1052957
US48,"12/5/2023, Eastern Time",698959,601637,758493,584713,2293640,1959892,336047,978614,420938,633295,260052,452756,1071044
US48,"12/6/2023, Eastern Time",712432,650883,763858,562899,2350635,1962553,350099,981342,431962,659080,256510,464158,1065459
US48,"12/7/2023, Eastern Time",705801,693431,735567,594582,2374642,1918496,364016,1017967,442171,706201,259226,484289,1077937
US48,"12/8/2023, Eastern Time",707793,631313,710414,576727,2215864,1819833,337814,1057745,412205,646794,260201,432301,1055819
US48,"12/9/2023, Eastern Time",664170,542308,714267,588721,2026795,1700278,303732,1079348,373711,539881,260967,373467,1040781
US48,"12/10/2023, Eastern Time",671431,509018,745108,602963,2021569,1813375,294209,1027365,376182,539717,263843,406862,1077626
US48,"12/11/2023, Eastern Time",721940,638041,772431,579389,2341265,2028513,323176,1023840,419515,703882,275486,507375,1166528
US48,"12/12/2023, Eastern Time",729723,731383,773995,602567,2406393,2013154,327244,1049438,416767,735153,272083,509437,1112452
US48,"12/13/2023, Eastern Time",733323,704799,759818,592925,2382346,1987696,332745,1059982,422306,707789,274099,480524,1099472
US48,"12/14/2023, Eastern Time",737203,687287,751190,578407,2416016,1939490,346673,1062431,429718,674654,274397,464695,1090329
US48,"12/15/2023, Eastern Time",730018,701611,736958,567264,2302401,1873260,322471,1058917,406664,668381,271492,460698,1064289
US48,"12/16/2023, Eastern Time",682077,638912,717709,567023,2129487,1759924,292542,1035325,376701,605577,260081,432652,1056005
US48,"12/17/2023, Eastern Time",681774,573621,720116,565968,2054607,1764307,306686,1042049,380944,571789,256436,401704,1075684
US48,"12/18/2023, Eastern Time",730847,591033,766864,562718,2249772,2006756,306011,1068911,403894,654681,268478,477654,1095997
US48,"12/19/2023, Eastern Time",727461,735568,799299,613035,2471221,2087746,310803,1028760,428070,754654,266003,543912,1132449
US48,"12/20/2023, Eastern Time",730897,776530,758783,630067,2468318,1992820,331175,1014993,435155,781103,264145,527752,1083616
US48,"12/21/2023, Eastern Time",719621,730879,724100,588387,2396058,1925353,342119,1019437,429908,732929,261258,497499,1048874
US48,"12/22/2023, Eastern Time",697995,662501,693990,570346,2299988,1814311,350325,1029294,436126,629165,269770,447113,1023233
US48,"12/23/2023, Eastern Time",657702,589037,670315,551149,2128685,1656225,332504,1037171,411441,547545,256326,396601,1004696
US48,"12/24/2023, Eastern Time",649819,535596,657216,552169,1962677,1574140,311622,1062450,384835,519573,254400,359437,987297
US48,"12/25/2023, Eastern Time",632231,490227,717626,548169,1883564,1556214,287427,1040003,360649,480532,249626,331613,1031785
US48,"12/26/2023, Eastern Time",674145,494804,774684,575811,1988797,1739343,306017,1050126,391138,511048,267919,369619,1131427
US48,"12/27/2023, Eastern Time",698940,506141,787746,560573,2079566,1857454,314432,1047035,394055,569277,276845,422241,1131652
US48,"12/28/2023, Eastern Time",690881,545918,797687,560398,2084096,1926044,319065,1038616,389848,616299,271874,454805,1161632
US48,"12/29/2023, Eastern Time",680002,634698,785415,586583,2126024,1936995,313799,1014444,384132,675125,268698,477732,1180330
US48,"12/30/2023, Eastern Time",659629,651583,745495,611345,2128133,1862303,300851,967325,382382,671895,259653,468637,1120936
US48,"12/31/2023, Eastern Time",657024,650208,750189,609399,2107102,1827378,310484,973562,390049,675617,255519,442586,1060853
