,County,City,State,Geog_Area_Type,Gigabit_Fiber_Coverage,Business_Density
30915,Contra Costa County,Contra Costa,CA,Total,Moderate,High
30945,Del Norte County,Del Norte,CA,Total,Limited,Low
30975,El Dorado County,El Dorado,CA,Total,Limited,High
31005,Fresno County,Fresno,CA,Total,Moderate,High
31035,Glenn County,Glenn,CA,Total,Limited,Low
31065,Humboldt County,Humboldt,CA,Total,Limited,High
31095,Imperial County,Imperial,CA,Total,Limited,High
31125,Inyo County,Inyo,CA,Total,Limited,Low
31155,Kern County,Kern,CA,Total,Moderate,High
31185,Kings County,Kings,CA,Total,Limited,Moderate
31215,Lake County,Lake,CA,Total,Limited,Moderate
31245,Lassen County,Lassen,CA,Total,Limited,Low
31275,Los Angeles County,Los Angeles,CA,Total,Limited,High
31305,Madera County,Madera,CA,Total,Limited,High
31335,Marin County,Marin,CA,Total,Moderate,High
31365,Mariposa County,Mariposa,CA,Total,Limited,Low
31395,Mendocino County,Mendocino,CA,Total,Limited,High
31425,Merced County,Merced,CA,Total,Limited,High
31455,Modoc County,Modoc,CA,Total,Limited,Low
31485,Mono County,Mono,CA,Total,Limited,Low
31515,Monterey County,Monterey,CA,Total,Limited,High
31545,Napa County,Napa,CA,Total,Limited,High
31575,Nevada County,Nevada,CA,Total,Limited,High
31605,Orange County,Orange,CA,Total,Limited,High
31635,Placer County,Placer,CA,Total,Limited,High
31665,Plumas County,Plumas,CA,Total,Limited,Moderate
31695,Riverside County,Riverside,CA,Total,Limited,High
31725,Sacramento County,Sacramento,CA,Total,Limited,High
31755,San Benito County,San Benito,CA,Total,Limited,Moderate
31785,San Bernardino County,San Bernardino,CA,Total,Limited,High
31815,San Diego County,San Diego,CA,Total,Moderate,High
31845,San Francisco County,San Francisco,CA,Total,Moderate,High
31875,San Joaquin County,San Joaquin,CA,Total,Limited,High
31905,San Luis Obispo County,San Luis Obispo,CA,Total,Moderate,High
31935,San Mateo County,San Mateo,CA,Total,Good,High
31965,Santa Barbara County,Santa Barbara,CA,Total,Limited,High
31995,Santa Clara County,Santa Clara,CA,Total,Moderate,High
32025,Santa Cruz County,Santa Cruz,CA,Total,Moderate,High
32055,Shasta County,Shasta,CA,Total,Limited,High
32085,Sierra County,Sierra,CA,Total,Limited,Low
32115,Siskiyou County,Siskiyou,CA,Total,Moderate,Moderate
32145,Solano County,Solano,CA,Total,Limited,High
32175,Sonoma County,Sonoma,CA,Total,Limited,High
32205,Stanislaus County,Stanislaus,CA,Total,Limited,High
32235,Sutter County,Sutter,CA,Total,Moderate,Moderate
32265,Tehama County,Tehama,CA,Total,Limited,Moderate
32295,Trinity County,Trinity,CA,Total,Limited,Low
32325,Tulare County,Tulare,CA,Total,Limited,High
32355,Tuolumne County,Tuolumne,CA,Total,Limited,Moderate
32385,Ventura County,Ventura,CA,Total,Limited,High
32415,Yolo County,Yolo,CA,Total,Limited,High
32445,Yuba County,Yuba,CA,Total,Limited,Moderate
32475,Adams County,Adams,CO,Total,Limited,High
32505,Alamosa County,Alamosa,CO,Total,Moderate,Low
32535,Arapahoe County,Arapahoe,CO,Total,Limited,High
32565,Archuleta County,Archuleta,CO,Total,Limited,Low
32595,Baca County,Baca,CO,Total,Moderate,Low
32625,Bent County,Bent,CO,Total,Good,Low
32655,Boulder County,Boulder,CO,Total,Moderate,High
32685,Broomfield County,Broomfield,CO,Total,Limited,Moderate
32715,Chaffee County,Chaffee,CO,Total,Moderate,Low
32745,Cheyenne County,Cheyenne,CO,Total,Limited,Low
32775,Clear Creek County,Clear Creek,CO,Total,Limited,Low
32805,Conejos County,Conejos,CO,Total,Good,Low
32835,Costilla County,Costilla,CO,Total,Good,Low
32865,Crowley County,Crowley,CO,Total,Limited,Low
32895,Custer County,Custer,CO,Total,Limited,Low
32925,Delta County,Delta,CO,Total,Excellent,Moderate
32955,Denver County,Denver,CO,Total,Limited,High
32985,Dolores County,Dolores,CO,Total,Limited,Low
33015,Douglas County,Douglas,CO,Total,Limited,High
33045,Eagle County,Eagle,CO,Total,Limited,Moderate
33075,Elbert County,Elbert,CO,Total,Good,Low
33105,El Paso County,El Paso,CO,Total,Moderate,High
33135,Fremont County,Fremont,CO,Total,Limited,Moderate
33165,Garfield County,Garfield,CO,Total,Limited,Moderate
33195,Gilpin County,Gilpin,CO,Total,Moderate,Low
33225,Grand County,Grand,CO,Total,Limited,Moderate
33255,Gunnison County,Gunnison,CO,Total,Limited,Low
33285,Hinsdale County,Hinsdale,CO,Total,Moderate,Low
33315,Huerfano County,Huerfano,CO,Total,Moderate,Low
33345,Jackson County,Jackson,CO,Total,Moderate,Low
33375,Jefferson County,Jefferson,CO,Total,Limited,High
33405,Kiowa County,Kiowa,CO,Total,Moderate,Low
33435,Kit Carson County,Kit Carson,CO,Total,Moderate,Low
33465,Lake County,Lake,CO,Total,Moderate,Low
33495,La Plata County,La Plata,CO,Total,Limited,Moderate
33525,Larimer County,Larimer,CO,Total,Moderate,High
33555,Las Animas County,Las Animas,CO,Total,Limited,Low
33585,Lincoln County,Lincoln,CO,Total,Good,Low
33615,Logan County,Logan,CO,Total,Moderate,Low
33645,Mesa County,Mesa,CO,Total,Moderate,High
33675,Mineral County,Mineral,CO,Total,Excellent,Low
33705,Moffat County,Moffat,CO,Total,Good,Low
33735,Montezuma County,Montezuma,CO,Total,Limited,Low
33765,Montrose County,Montrose,CO,Total,Excellent,Moderate
33795,Morgan County,Morgan,CO,Total,Good,Low
33825,Otero County,Otero,CO,Total,Moderate,Low
33855,Ouray County,Ouray,CO,Total,Good,Low
33885,Park County,Park,CO,Total,Limited,Moderate
33915,Phillips County,Phillips,CO,Total,Good,Low
33945,Pitkin County,Pitkin,CO,Total,Limited,Moderate
33975,Prowers County,Prowers,CO,Total,Limited,Low
34005,Pueblo County,Pueblo,CO,Total,Limited,High
34035,Rio Blanco County,Rio Blanco,CO,Total,Limited,Low
34065,Rio Grande County,Rio Grande,CO,Total,Excellent,Low
34095,Routt County,Routt,CO,Total,Limited,Moderate
34125,Saguache County,Saguache,CO,Total,Moderate,Low
34155,San Juan County,San Juan,CO,Total,Excellent,Low
34185,San Miguel County,San Miguel,CO,Total,Moderate,Low
34215,Sedgwick County,Sedgwick,CO,Total,Good,Low
34245,Summit County,Summit,CO,Total,Limited,Moderate
34275,Teller County,Teller,CO,Total,Moderate,Moderate
34305,Washington County,Washington,CO,Total,Limited,Low
34335,Weld County,Weld,CO,Total,Moderate,High
34365,Yuma County,Yuma,CO,Total,Moderate,Low
34395,Fairfield County,Fairfield,CT,Total,Moderate,High
34425,Hartford County,Hartford,CT,Total,Moderate,High
34455,Litchfield County,Litchfield,CT,Total,Limited,High
34485,Middlesex County,Middlesex,CT,Total,Limited,High
34515,New Haven County,New Haven,CT,Total,Moderate,High
34545,New London County,New London,CT,Total,Limited,High
34575,Tolland County,Tolland,CT,Total,Limited,High
34605,Windham County,Windham,CT,Total,Limited,High
34635,Kent County,Kent,DE,Total,Limited,High
34665,New Castle County,New Castle,DE,Total,Limited,High
34695,Sussex County,Sussex,DE,Total,Limited,High
34725,District of Columbia,Washington,DC,Total,Limited,High
34755,Alachua County,Alachua,FL,Total,Moderate,High
34785,Baker County,Baker,FL,Total,Moderate,Low
34815,Bay County,Bay,FL,Total,Limited,High
34845,Bradford County,Bradford,FL,Total,Limited,Low
34875,Brevard County,Brevard,FL,Total,Moderate,High
34905,Broward County,Broward,FL,Total,Moderate,High
34935,Calhoun County,Calhoun,FL,Total,Limited,Low
34965,Charlotte County,Charlotte,FL,Total,Limited,High
34995,Citrus County,Citrus,FL,Total,Limited,High
35025,Clay County,Clay,FL,Total,Good,High
35055,Collier County,Collier,FL,Total,Limited,High
35085,Columbia County,Columbia,FL,Total,Limited,Moderate
35115,DeSoto County,DeSoto,FL,Total,Limited,Moderate
35145,Dixie County,Dixie,FL,Total,Good,Low
35175,Duval County,Duval,FL,Total,Moderate,High
35205,Escambia County,Escambia,FL,Total,Moderate,High
35235,Flagler County,Flagler,FL,Total,Good,High
35265,Franklin County,Franklin,FL,Total,Limited,Low
35295,Gadsden County,Gadsden,FL,Total,Limited,Moderate
35325,Gilchrist County,Gilchrist,FL,Total,Good,Low
35355,Glades County,Glades,FL,Total,Limited,Low
35385,Gulf County,Gulf,FL,Total,Limited,Low
35415,Hamilton County,Hamilton,FL,Total,Good,Low
35445,Hardee County,Hardee,FL,Total,Limited,Low
35475,Hendry County,Hendry,FL,Total,Limited,Moderate
35505,Hernando County,Hernando,FL,Total,Limited,High
35535,Highlands County,Highlands,FL,Total,Limited,High
35565,Hillsborough County,Hillsborough,FL,Total,Limited,High
35595,Holmes County,Holmes,FL,Total,Limited,Low
35625,Indian River County,Indian River,FL,Total,Moderate,High
35655,Jackson County,Jackson,FL,Total,Limited,Moderate
35685,Jefferson County,Jefferson,FL,Total,Moderate,Low
35715,Lafayette County,Lafayette,FL,Total,Limited,Low
35745,Lake County,Lake,FL,Total,Limited,High
35775,Lee County,Lee,FL,Total,Limited,High
35805,Leon County,Leon,FL,Total,Good,High
35835,Levy County,Levy,FL,Total,Limited,Moderate
35865,Liberty County,Liberty,FL,Total,Limited,Low
35895,Madison County,Madison,FL,Total,Good,Low
35925,Manatee County,Manatee,FL,Total,Limited,High
35955,Marion County,Marion,FL,Total,Limited,High
35985,Martin County,Martin,FL,Total,Limited,High
36015,Miami-Dade County,Miami-Dade,FL,Total,Good,High
36045,Monroe County,Monroe,FL,Total,Moderate,High
36075,Nassau County,Nassau,FL,Total,Moderate,Moderate
36105,Okaloosa County,Okaloosa,FL,Total,Moderate,High
36135,Okeechobee County,Okeechobee,FL,Total,Limited,Moderate
36165,Orange County,Orange,FL,Total,Moderate,High
36195,Osceola County,Osceola,FL,Total,Limited,High
36225,Palm Beach County,Palm Beach,FL,Total,Moderate,High
36255,Pasco County,Pasco,FL,Total,Limited,High
36285,Pinellas County,Pinellas,FL,Total,Limited,High
36315,Polk County,Polk,FL,Total,Limited,High
36345,Putnam County,Putnam,FL,Total,Limited,Moderate
36375,St. Johns County,St. Johns,FL,Total,Good,High
36405,St. Lucie County,St. Lucie,FL,Total,Moderate,High
36435,Santa Rosa County,Santa Rosa,FL,Total,Moderate,High
36465,Sarasota County,Sarasota,FL,Total,Limited,High
36495,Seminole County,Seminole,FL,Total,Moderate,High
36525,Sumter County,Sumter,FL,Total,Limited,High
36555,Suwannee County,Suwannee,FL,Total,Limited,Moderate
36585,Taylor County,Taylor,FL,Total,Moderate,Low
36615,Union County,Union,FL,Total,Moderate,Low
36645,Volusia County,Volusia,FL,Total,Moderate,High
36675,Wakulla County,Wakulla,FL,Total,Limited,Moderate
36705,Walton County,Walton,FL,Total,Limited,High
36735,Washington County,Washington,FL,Total,Limited,Low
36765,Appling County,Appling,GA,Total,Good,Low
36795,Atkinson County,Atkinson,GA,Total,Good,Low
36825,Bacon County,Bacon,GA,Total,Excellent,Low
36855,Baker County,Baker,GA,Total,Limited,Low
36885,Baldwin County,Baldwin,GA,Total,Good,Moderate
36915,Banks County,Banks,GA,Total,Limited,Low
36945,Barrow County,Barrow,GA,Total,Moderate,Moderate
36975,Bartow County,Bartow,GA,Total,Limited,High
37005,Ben Hill County,Ben Hill,GA,Total,Good,Low
37035,Berrien County,Berrien,GA,Total,Good,Low
37065,Bibb County,Bibb,GA,Total,Moderate,High
37095,Bleckley County,Bleckley,GA,Total,Excellent,Low
37125,Brantley County,Brantley,GA,Total,Excellent,Low
37155,Brooks County,Brooks,GA,Total,Moderate,Low
37185,Bryan County,Bryan,GA,Total,Moderate,Moderate
37215,Bulloch County,Bulloch,GA,Total,Good,Moderate
37245,Burke County,Burke,GA,Total,Limited,Low
37275,Butts County,Butts,GA,Total,Good,Low
37305,Calhoun County,Calhoun,GA,Total,Limited,Low
37335,Camden County,Camden,GA,Total,Good,Moderate
37365,Candler County,Candler,GA,Total,Excellent,Low
37395,Carroll County,Carroll,GA,Total,Limited,High
37425,Catoosa County,Catoosa,GA,Total,Good,Moderate
37455,Charlton County,Charlton,GA,Total,Moderate,Low
37485,Chatham County,Chatham,GA,Total,Moderate,High
37515,Chattahoochee County,Chattahoochee,GA,Total,Limited,Low
37545,Chattooga County,Chattooga,GA,Total,Moderate,Low
37575,Cherokee County,Cherokee,GA,Total,Good,High
37605,Clarke County,Clarke,GA,Total,Moderate,High
37635,Clay County,Clay,GA,Total,Moderate,Low
37665,Clayton County,Clayton,GA,Total,Good,High
37695,Clinch County,Clinch,GA,Total,Limited,Low
37725,Cobb County,Cobb,GA,Total,Moderate,High
37755,Coffee County,Coffee,GA,Total,Moderate,Moderate
37785,Colquitt County,Colquitt,GA,Total,Good,Moderate
37815,Columbia County,Columbia,GA,Total,Moderate,High
37845,Cook County,Cook,GA,Total,Moderate,Low
37875,Coweta County,Coweta,GA,Total,Moderate,High
37905,Crawford County,Crawford,GA,Total,Excellent,Low
37935,Crisp County,Crisp,GA,Total,Moderate,Low
37965,Dade County,Dade,GA,Total,Excellent,Low
37995,Dawson County,Dawson,GA,Total,Moderate,Low
38025,Decatur County,Decatur,GA,Total,Limited,Moderate
38055,DeKalb County,DeKalb,GA,Total,Good,High
38085,Dodge County,Dodge,GA,Total,Good,Low
38115,Dooly County,Dooly,GA,Total,Excellent,Low
38145,Dougherty County,Dougherty,GA,Total,Moderate,Moderate
38175,Douglas County,Douglas,GA,Total,Good,High
38205,Early County,Early,GA,Total,Limited,Low
38235,Echols County,Echols,GA,Total,Limited,Low
38265,Effingham County,Effingham,GA,Total,Limited,Moderate
38295,Elbert County,Elbert,GA,Total,Limited,Low
38325,Emanuel County,Emanuel,GA,Total,Excellent,Low
38355,Evans County,Evans,GA,Total,Excellent,Low
38385,Fannin County,Fannin,GA,Total,Moderate,Moderate
38415,Fayette County,Fayette,GA,Total,Good,High
38445,Floyd County,Floyd,GA,Total,Moderate,Moderate
38475,Forsyth County,Forsyth,GA,Total,Good,High
38505,Franklin County,Franklin,GA,Total,Limited,Low
38535,Fulton County,Fulton,GA,Total,Good,High
38565,Gilmer County,Gilmer,GA,Total,Limited,Moderate
38595,Glascock County,Glascock,GA,Total,Limited,Low
38625,Glynn County,Glynn,GA,Total,Good,Moderate
38655,Gordon County,Gordon,GA,Total,Limited,Moderate
38685,Grady County,Grady,GA,Total,Good,Low
38715,Greene County,Greene,GA,Total,Limited,Low
38745,Gwinnett County,Gwinnett,GA,Total,Good,High
38775,Habersham County,Habersham,GA,Total,Good,Moderate
38805,Hall County,Hall,GA,Total,Moderate,High
38835,Hancock County,Hancock,GA,Total,Good,Low
38865,Haralson County,Haralson,GA,Total,Limited,Low
38895,Harris County,Harris,GA,Total,Moderate,Moderate
38925,Hart County,Hart,GA,Total,Good,Moderate
38955,Heard County,Heard,GA,Total,Limited,Low
38985,Henry County,Henry,GA,Total,Good,High
39015,Houston County,Houston,GA,Total,Good,High
39045,Irwin County,Irwin,GA,Total,Excellent,Low
39075,Jackson County,Jackson,GA,Total,Limited,Moderate
39105,Jasper County,Jasper,GA,Total,Good,Low
39135,Jeff Davis County,Jeff Davis,GA,Total,Excellent,Low
39165,Jefferson County,Jefferson,GA,Total,Limited,Low
39195,Jenkins County,Jenkins,GA,Total,Moderate,Low
39225,Johnson County,Johnson,GA,Total,Good,Low
39255,Jones County,Jones,GA,Total,Excellent,Low
39285,Lamar County,Lamar,GA,Total,Good,Low
39315,Lanier County,Lanier,GA,Total,Excellent,Low
39345,Laurens County,Laurens,GA,Total,Limited,Moderate
39375,Lee County,Lee,GA,Total,Limited,Low
39405,Liberty County,Liberty,GA,Total,Limited,Moderate
39435,Lincoln County,Lincoln,GA,Total,Excellent,Low
39465,Long County,Long,GA,Total,Moderate,Low
39495,Lowndes County,Lowndes,GA,Total,Moderate,High
39525,Lumpkin County,Lumpkin,GA,Total,Moderate,Moderate
39555,McDuffie County,McDuffie,GA,Total,Limited,Low
39585,McIntosh County,McIntosh,GA,Total,Moderate,Low
39615,Macon County,Macon,GA,Total,Good,Low
39645,Madison County,Madison,GA,Total,Limited,Low
39675,Marion County,Marion,GA,Total,Limited,Low
39705,Meriwether County,Meriwether,GA,Total,Moderate,Low
39735,Miller County,Miller,GA,Total,Moderate,Low
39765,Mitchell County,Mitchell,GA,Total,Moderate,Low
39795,Monroe County,Monroe,GA,Total,Excellent,Low
39825,Montgomery County,Montgomery,GA,Total,Excellent,Low
39855,Morgan County,Morgan,GA,Total,Moderate,Low
